question,answer_llm,answer_orig,document
What should I read first if I want to begin the LLM Zoomcamp and not miss anything important?,"Start with these three:

1. **LLM Zoomcamp docs**
2. **General Zoomcamp logistics docs**
3. **LLM Zoomcamp GitHub repository**

Those are the first places to read so you don’t miss important course info.","Start with the [LLM Zoomcamp docs](https://datatalks.club/docs/courses/llm-zoomcamp/), the [general Zoomcamp logistics docs](https://datatalks.club/docs/courses/zoomcamp-logistics/), and the [LLM Zoomcamp GitHub repository](https://github.com/DataTalksClub/llm-zoomcamp).

You can start whenever you want. The videos and GitHub materials are available, and the deadlines are listed in the [course management platform](https://courses.datatalks.club/llm-zoomcamp-2026/).

A typical workflow is:

1. Watch the lesson videos.
2. Work through the lesson notebooks/code.
3. Read the homework instructions on GitHub.
4. Submit answers through the course platform before the deadline.

Homework is similar to the lesson flow, but uses a different dataset or slightly different task.",04919992b3
"Can I join the course at any time, or do I need to wait for a specific start date?","Yes, you can join even if the course has already started. You don’t need to wait for a specific start date to begin learning or submitting homework, as long as the submission form is still open.

If you want a certificate, though, you need to join while the course is running live and submit your project before submissions close.","Start with the [LLM Zoomcamp docs](https://datatalks.club/docs/courses/llm-zoomcamp/), the [general Zoomcamp logistics docs](https://datatalks.club/docs/courses/zoomcamp-logistics/), and the [LLM Zoomcamp GitHub repository](https://github.com/DataTalksClub/llm-zoomcamp).

You can start whenever you want. The videos and GitHub materials are available, and the deadlines are listed in the [course management platform](https://courses.datatalks.club/llm-zoomcamp-2026/).

A typical workflow is:

1. Watch the lesson videos.
2. Work through the lesson notebooks/code.
3. Read the homework instructions on GitHub.
4. Submit answers through the course platform before the deadline.

Homework is similar to the lesson flow, but uses a different dataset or slightly different task.",04919992b3
What is the usual weekly process for going through a lesson and doing the homework?,"A typical weekly workflow is:

1. Watch the lesson videos.
2. Work through the lesson notebooks/code.
3. Read the homework instructions on GitHub.
4. Submit answers through the course platform before the deadline.

Homework usually follows the lesson flow, but with a different dataset or a slightly different task.","Start with the [LLM Zoomcamp docs](https://datatalks.club/docs/courses/llm-zoomcamp/), the [general Zoomcamp logistics docs](https://datatalks.club/docs/courses/zoomcamp-logistics/), and the [LLM Zoomcamp GitHub repository](https://github.com/DataTalksClub/llm-zoomcamp).

You can start whenever you want. The videos and GitHub materials are available, and the deadlines are listed in the [course management platform](https://courses.datatalks.club/llm-zoomcamp-2026/).

A typical workflow is:

1. Watch the lesson videos.
2. Work through the lesson notebooks/code.
3. Read the homework instructions on GitHub.
4. Submit answers through the course platform before the deadline.

Homework is similar to the lesson flow, but uses a different dataset or slightly different task.",04919992b3
"Where do I find the videos, notebooks, homework instructions, and deadlines for the course?","You can find them here:

- **Videos and lesson materials / notebooks:** in the [LLM Zoomcamp GitHub repository](https://github.com/DataTalksClub/llm-zoomcamp) and the course materials for your cohort.
- **Homework instructions:** in the [Module 1 homework instructions on GitHub](https://github.com/DataTalksClub/llm-zoomcamp/blob/main/cohorts/2026/01-agentic-rag/homework.md).
- **Deadlines:** in the [course management platform](https://courses.datatalks.club/llm-zoomcamp-2026/).

For Module 1 specifically, start with the [cohort materials](https://github.com/DataTalksClub/llm-zoomcamp/tree/main/cohorts/2026/01-agentic-rag).","Start with the [LLM Zoomcamp docs](https://datatalks.club/docs/courses/llm-zoomcamp/), the [general Zoomcamp logistics docs](https://datatalks.club/docs/courses/zoomcamp-logistics/), and the [LLM Zoomcamp GitHub repository](https://github.com/DataTalksClub/llm-zoomcamp).

You can start whenever you want. The videos and GitHub materials are available, and the deadlines are listed in the [course management platform](https://courses.datatalks.club/llm-zoomcamp-2026/).

A typical workflow is:

1. Watch the lesson videos.
2. Work through the lesson notebooks/code.
3. Read the homework instructions on GitHub.
4. Submit answers through the course platform before the deadline.

Homework is similar to the lesson flow, but uses a different dataset or slightly different task.",04919992b3
"Is the homework the same as the lesson exercises, or does it use different data and tasks?","Homework is similar to the lesson flow, but it uses a different dataset or slightly different task.","Start with the [LLM Zoomcamp docs](https://datatalks.club/docs/courses/llm-zoomcamp/), the [general Zoomcamp logistics docs](https://datatalks.club/docs/courses/zoomcamp-logistics/), and the [LLM Zoomcamp GitHub repository](https://github.com/DataTalksClub/llm-zoomcamp).

You can start whenever you want. The videos and GitHub materials are available, and the deadlines are listed in the [course management platform](https://courses.datatalks.club/llm-zoomcamp-2026/).

A typical workflow is:

1. Watch the lesson videos.
2. Work through the lesson notebooks/code.
3. Read the homework instructions on GitHub.
4. Submit answers through the course platform before the deadline.

Homework is similar to the lesson flow, but uses a different dataset or slightly different task.",04919992b3
How do I find my own entry on the leaderboard if I can’t spot my name there?,"Click the **""Jump to your record on the leaderboard""** link — it will take you directly to your entry.

If you want to see or change the name shown publicly, use **""Edit Course Profile""**.","When you set up your account, you are automatically assigned a random name, such as “Lucid Elbakyan.” Click on the ""Jump to your record on the leaderboard"" link to find your entry.

If you want to see what your Display name is, click on the ""Edit Course Profile"" button.

<{IMAGE:image_1}>

- **First field:** This is your nickname/displayed name. You can change it if you want to be known by your Slack username, GitHub username, or any other nickname of your choice. This is useful if you want to remain anonymous.
- **Second field:** Change this to your official name as in your identification documents—passport, national ID card, driver's license, etc. This is mandatory if you do not want ""Lucid Elbakyan"" on your certificate. This name will appear on your Certificate!",c2903069a0
"Why do I have a random display name on the course leaderboard, and can I change it?","You get a random display name automatically when you set up your account, which is why you may see something like “Lucid Elbakyan” on the leaderboard.

Yes, you can change it:
- Go to **Edit Course Profile**
- Change the **first field** to your preferred **display name / nickname** for the leaderboard
- The **second field** is your **official name**, which is what will appear on your certificate

If you want, you can use a Slack username, GitHub username, or any other nickname for the public leaderboard.","When you set up your account, you are automatically assigned a random name, such as “Lucid Elbakyan.” Click on the ""Jump to your record on the leaderboard"" link to find your entry.

If you want to see what your Display name is, click on the ""Edit Course Profile"" button.

<{IMAGE:image_1}>

- **First field:** This is your nickname/displayed name. You can change it if you want to be known by your Slack username, GitHub username, or any other nickname of your choice. This is useful if you want to remain anonymous.
- **Second field:** Change this to your official name as in your identification documents—passport, national ID card, driver's license, etc. This is mandatory if you do not want ""Lucid Elbakyan"" on your certificate. This name will appear on your Certificate!",c2903069a0
Where can I check what my current display name is in the course profile?,Click **“Edit Course Profile”**. The **first field** is your current public display name/nickname for the leaderboard.,"When you set up your account, you are automatically assigned a random name, such as “Lucid Elbakyan.” Click on the ""Jump to your record on the leaderboard"" link to find your entry.

If you want to see what your Display name is, click on the ""Edit Course Profile"" button.

<{IMAGE:image_1}>

- **First field:** This is your nickname/displayed name. You can change it if you want to be known by your Slack username, GitHub username, or any other nickname of your choice. This is useful if you want to remain anonymous.
- **Second field:** Change this to your official name as in your identification documents—passport, national ID card, driver's license, etc. This is mandatory if you do not want ""Lucid Elbakyan"" on your certificate. This name will appear on your Certificate!",c2903069a0
"If I want my certificate to show my real name instead of the default nickname, what should I edit?",Edit the **second field** in **“Edit Course Profile”** — that’s the name printed on your certificate.,"When you set up your account, you are automatically assigned a random name, such as “Lucid Elbakyan.” Click on the ""Jump to your record on the leaderboard"" link to find your entry.

If you want to see what your Display name is, click on the ""Edit Course Profile"" button.

<{IMAGE:image_1}>

- **First field:** This is your nickname/displayed name. You can change it if you want to be known by your Slack username, GitHub username, or any other nickname of your choice. This is useful if you want to remain anonymous.
- **Second field:** Change this to your official name as in your identification documents—passport, national ID card, driver's license, etc. This is mandatory if you do not want ""Lucid Elbakyan"" on your certificate. This name will appear on your Certificate!",c2903069a0
Can I use a Slack or GitHub username as my public name in the course profile?,"Yes — you can use your Slack username, GitHub username, or any other nickname as your public display name in the course profile.","When you set up your account, you are automatically assigned a random name, such as “Lucid Elbakyan.” Click on the ""Jump to your record on the leaderboard"" link to find your entry.

If you want to see what your Display name is, click on the ""Edit Course Profile"" button.

<{IMAGE:image_1}>

- **First field:** This is your nickname/displayed name. You can change it if you want to be known by your Slack username, GitHub username, or any other nickname of your choice. This is useful if you want to remain anonymous.
- **Second field:** Change this to your official name as in your identification documents—passport, national ID card, driver's license, etc. This is mandatory if you do not want ""Lucid Elbakyan"" on your certificate. This name will appear on your Certificate!",c2903069a0
"Can I take this course on my own pace and still get the certificate, or is it only for the live group?",No. You can only get the certificate if you finish the course with a live cohort. The self-paced mode does not include a certificate because you need to peer-review 3 capstones while the course is running.,"No, you can only get a certificate if you finish the course with a ""live"" cohort.

We don't award certificates for the self-paced mode. The reason is you need to peer-review 3 capstone(s) after submitting your project.

You can only peer-review projects at the time the course is running; after the form is closed and the peer-review list is compiled.",69d122f12e
"If I do the course later by myself, will I miss out on the certificate completely?","Yes — if you do the course later by yourself in self-paced mode, you will miss out on the certificate completely. The course only awards certificates to participants who finish with a live cohort.","No, you can only get a certificate if you finish the course with a ""live"" cohort.

We don't award certificates for the self-paced mode. The reason is you need to peer-review 3 capstone(s) after submitting your project.

You can only peer-review projects at the time the course is running; after the form is closed and the peer-review list is compiled.",69d122f12e
Why can’t self-paced students get a certificate at the end?,"Self-paced students can’t get a certificate because the course requires **live cohort participation**: you must **peer-review 3 capstone projects** after submitting your own. That peer-review process is only available while the course is running, and the forms close afterward.","No, you can only get a certificate if you finish the course with a ""live"" cohort.

We don't award certificates for the self-paced mode. The reason is you need to peer-review 3 capstone(s) after submitting your project.

You can only peer-review projects at the time the course is running; after the form is closed and the peer-review list is compiled.",69d122f12e
Do I need to be in the running cohort to do the peer reviews required for certification?,"Yes — to count toward certification, you need to be in the live/running cohort. The peer reviews are only available while the course is running, and certification requires you to complete the required peer reviews as part of that cohort.

If you follow the course self-paced, you won’t be able to get the certificate.","No, you can only get a certificate if you finish the course with a ""live"" cohort.

We don't award certificates for the self-paced mode. The reason is you need to peer-review 3 capstone(s) after submitting your project.

You can only peer-review projects at the time the course is running; after the form is closed and the peer-review list is compiled.",69d122f12e
"Is the certificate available only when the course is active, not after it closes?","Yes. The certificate is only available while the course is running with a live cohort. After the course closes, you can’t get it because the peer-review process is no longer available.","No, you can only get a certificate if you finish the course with a ""live"" cohort.

We don't award certificates for the self-paced mode. The reason is you need to peer-review 3 capstone(s) after submitting your project.

You can only peer-review projects at the time the course is running; after the form is closed and the peer-review list is compiled.",69d122f12e
"If I skip the first homework, can I still earn the certificate for the course?","Yes. You can skip the first homework and still earn the certificate, as long as you pass the Capstone project. Homework is not mandatory, though it is recommended.","Yes, you need to pass the Capstone project to get the certificate. Homework is not mandatory, though it is recommended for reinforcing concepts, and the points awarded count towards your rank on the leaderboard.",9f689c185f
"Do I have to do all the homework to get certified, or is the capstone enough?","No — you don’t have to do all the homework to get certified. You need to pass the Capstone project to get the certificate, and homework is not mandatory.","Yes, you need to pass the Capstone project to get the certificate. Homework is not mandatory, though it is recommended for reinforcing concepts, and the points awarded count towards your rank on the leaderboard.",9f689c185f
"Is homework required for the certificate, or only the final capstone project?","Homework is not required for the certificate. You only need to pass the final capstone project to get the certificate. Homework is recommended, but it is not mandatory.","Yes, you need to pass the Capstone project to get the certificate. Homework is not mandatory, though it is recommended for reinforcing concepts, and the points awarded count towards your rank on the leaderboard.",9f689c185f
I missed one homework assignment. Will that stop me from getting the certificate?,"No. You can still get the certificate as long as you pass the Capstone project. Homework is not mandatory, though it is recommended.","Yes, you need to pass the Capstone project to get the certificate. Homework is not mandatory, though it is recommended for reinforcing concepts, and the points awarded count towards your rank on the leaderboard.",9f689c185f
What do I actually need to pass to get the course certificate if homework is optional?,You need to **pass the Capstone project** to get the certificate. Homework is **not mandatory**.,"Yes, you need to pass the Capstone project to get the certificate. Homework is not mandatory, though it is recommended for reinforcing concepts, and the points awarded count towards your rank on the leaderboard.",9f689c185f
Why does the homework content keep changing before the deadline?,"Because the homework may still be in draft. If the homework title contains `[DRAFT]`, it means it is not ready yet, so the content can still change until both are true:

- the homework form is open on the course management platform
- the homework title does **not** contain `[DRAFT]`

Until then, working on it in advance is at your own risk because the final version may be different.","If the homework title contains `[DRAFT]`, it means the homework is not ready yet.

The homework is ready only when both are true:

- The homework form is open on the course management platform.
- The homework title does not contain `[DRAFT]`.

Until then, the content can still change. Working on the material or homework in advance is at your own risk, because the final version can be different.",96286b4be4
What does [DRAFT] mean in the homework title?,It means the homework is not ready yet.,"If the homework title contains `[DRAFT]`, it means the homework is not ready yet.

The homework is ready only when both are true:

- The homework form is open on the course management platform.
- The homework title does not contain `[DRAFT]`.

Until then, the content can still change. Working on the material or homework in advance is at your own risk, because the final version can be different.",96286b4be4
How can I tell when a homework assignment is actually ready?,"A homework assignment is actually ready only when **both** are true:

- The homework form is open on the course management platform.
- The homework title does **not** contain **`[DRAFT]`**.

If the title has `[DRAFT]`, the homework is not ready yet, and the content may still change.","If the homework title contains `[DRAFT]`, it means the homework is not ready yet.

The homework is ready only when both are true:

- The homework form is open on the course management platform.
- The homework title does not contain `[DRAFT]`.

Until then, the content can still change. Working on the material or homework in advance is at your own risk, because the final version can be different.",96286b4be4
Is it safe to start working on homework if it still says [DRAFT]?,"No. If the homework title still contains `[DRAFT]`, it is not ready yet, and the content can still change. Working on it in advance is at your own risk.","If the homework title contains `[DRAFT]`, it means the homework is not ready yet.

The homework is ready only when both are true:

- The homework form is open on the course management platform.
- The homework title does not contain `[DRAFT]`.

Until then, the content can still change. Working on the material or homework in advance is at your own risk, because the final version can be different.",96286b4be4
Can the homework details change even after I see it on the platform?,"Yes — the homework can still change until it’s officially ready.

It’s considered ready only when:
- the homework form is open on the course management platform, and
- the title does **not** contain `[DRAFT]`.

Until then, the content may change, so working on it early is at your own risk.","If the homework title contains `[DRAFT]`, it means the homework is not ready yet.

The homework is ready only when both are true:

- The homework form is open on the course management platform.
- The homework title does not contain `[DRAFT]`.

Until then, the content can still change. Working on the material or homework in advance is at your own risk, because the final version can be different.",96286b4be4
When is the next time this course will be offered?,Summer 2027.,Summer 2027.,bd31146b0e
Do you know when the next course run starts?,Summer 2027.,Summer 2027.,bd31146b0e
Is there a date for the next offering of this course?,Yes — the next offering is scheduled for **Summer 2027**.,Summer 2027.,bd31146b0e
When can I take this course again next time?,Summer 2027.,Summer 2027.,bd31146b0e
Will this course be available in Summer 2027?,Yes. The course will next be offered in Summer 2027.,Summer 2027.,bd31146b0e
Where can I find the course videos for each lesson?,Use the [LLM Zoomcamp GitHub repository](https://github.com/DataTalksClub/llm-zoomcamp) as the main entry point. Open the lesson folders there—each lesson page has the relevant course videos linked at the top.,"Use the [LLM Zoomcamp GitHub repository](https://github.com/DataTalksClub/llm-zoomcamp) as the main entry point.

Open the lesson folders in the repo. Each lesson page has the relevant videos linked at the top.

<{IMAGE:lessons}>

When in doubt, follow the GitHub repo first, because it is easier to keep updated than the YouTube playlist.",31456f4b5f
Is there a main place I should start if I want the lectures and materials?,"Yes — the main place to start is the **LLM Zoomcamp GitHub repository**:

https://github.com/DataTalksClub/llm-zoomcamp

Open the lesson folders there; each lesson page has the relevant videos linked at the top. If you want the broader course setup first, also check the **LLM Zoomcamp docs** and the **general Zoomcamp logistics docs**.","Use the [LLM Zoomcamp GitHub repository](https://github.com/DataTalksClub/llm-zoomcamp) as the main entry point.

Open the lesson folders in the repo. Each lesson page has the relevant videos linked at the top.

<{IMAGE:lessons}>

When in doubt, follow the GitHub repo first, because it is easier to keep updated than the YouTube playlist.",31456f4b5f
Do the lesson pages link to the videos somewhere at the top?,Yes — each lesson page has the relevant videos linked at the top.,"Use the [LLM Zoomcamp GitHub repository](https://github.com/DataTalksClub/llm-zoomcamp) as the main entry point.

Open the lesson folders in the repo. Each lesson page has the relevant videos linked at the top.

<{IMAGE:lessons}>

When in doubt, follow the GitHub repo first, because it is easier to keep updated than the YouTube playlist.",31456f4b5f
Should I use the GitHub repo or the YouTube playlist to find the latest lectures?,Use the GitHub repo first. It’s the main entry point and is easier to keep updated than the YouTube playlist.,"Use the [LLM Zoomcamp GitHub repository](https://github.com/DataTalksClub/llm-zoomcamp) as the main entry point.

Open the lesson folders in the repo. Each lesson page has the relevant videos linked at the top.

<{IMAGE:lessons}>

When in doubt, follow the GitHub repo first, because it is easier to keep updated than the YouTube playlist.",31456f4b5f
How do I find the relevant video for a specific lesson in LLM Zoomcamp?,"Open the **LLM Zoomcamp GitHub repository** and go to the **lesson folder** for that lesson.  
Each lesson page has the **relevant videos linked at the top**.

If you’re unsure, use the GitHub repo first rather than the YouTube playlist, since it’s easier to keep updated.","Use the [LLM Zoomcamp GitHub repository](https://github.com/DataTalksClub/llm-zoomcamp) as the main entry point.

Open the lesson folders in the repo. Each lesson page has the relevant videos linked at the top.

<{IMAGE:lessons}>

When in doubt, follow the GitHub repo first, because it is easier to keep updated than the YouTube playlist.",31456f4b5f
"Where do I check the LLM Zoomcamp syllabus, deadlines, homework, and my progress in one place?","Use the **LLM Zoomcamp course management platform**: https://courses.datatalks.club/llm-zoomcamp-2026/

That’s the one place to see the **syllabus, deadlines, homework, and your progress**.","Use the [LLM Zoomcamp course management platform](https://courses.datatalks.club/llm-zoomcamp-2026/).

It contains the current cohort structure, homework, deadlines, and progress tracking. The process is the same as in other DataTalks.Club Zoomcamps.",20c5a1347e
Is there a course platform for following the current cohort structure and assignments?,"Yes — use the **LLM Zoomcamp course management platform**: https://courses.datatalks.club/llm-zoomcamp-2026/

It contains the **current cohort structure, homework, deadlines, and progress tracking**.","Use the [LLM Zoomcamp course management platform](https://courses.datatalks.club/llm-zoomcamp-2026/).

It contains the current cohort structure, homework, deadlines, and progress tracking. The process is the same as in other DataTalks.Club Zoomcamps.",20c5a1347e
How do I keep track of homework and deadlines for LLM Zoomcamp?,"Use the **LLM Zoomcamp course management platform** to track your **homework, deadlines, and progress**:

- https://courses.datatalks.club/llm-zoomcamp-2026/

You can also find homework instructions in the **course GitHub repo**, but the platform is the main place for **submission and deadlines**.","Use the [LLM Zoomcamp course management platform](https://courses.datatalks.club/llm-zoomcamp-2026/).

It contains the current cohort structure, homework, deadlines, and progress tracking. The process is the same as in other DataTalks.Club Zoomcamps.",20c5a1347e
What website should I use to monitor my progress in the zoomcamp?,"Use the **LLM Zoomcamp course management platform**:  
https://courses.datatalks.club/llm-zoomcamp-2026/

It’s where you can track the syllabus, deadlines, homework, and your progress.","Use the [LLM Zoomcamp course management platform](https://courses.datatalks.club/llm-zoomcamp-2026/).

It contains the current cohort structure, homework, deadlines, and progress tracking. The process is the same as in other DataTalks.Club Zoomcamps.",20c5a1347e
Is the LLM Zoomcamp management page the same kind of system used in other DataTalks.Club Zoomcamps?,Yes. The LLM Zoomcamp course management platform is the same kind of system/process used in other DataTalks.Club Zoomcamps.,"Use the [LLM Zoomcamp course management platform](https://courses.datatalks.club/llm-zoomcamp-2026/).

It contains the current cohort structure, homework, deadlines, and progress tracking. The process is the same as in other DataTalks.Club Zoomcamps.",20c5a1347e
"Does the course have live sessions or office hours for every module, or is everything pre-recorded?","There are no separate live sessions for every module by default. The module materials are pre-recorded and available in the course repo.

Live sessions are announced separately when they happen. If you need help, you can ask in Slack and follow the course’s question guidelines.

","There are no separate live sessions for every module by default. Module materials are pre-recorded and available in the course repo.

Live sessions are announced separately when they happen. If you are stuck, ask your question in Slack and follow the [asking questions guidelines](https://datatalks.club/docs/courses/zoomcamp-logistics/asking-questions/).

Optional extra support is available through [AI Shipping Labs](https://datatalks.club/docs/courses/llm-zoomcamp/ai-shipping-labs/), a paid community that includes regular Zoom office hours and additional structure. This is optional; the DataTalks.Club course content remains free.",d65e05bd7a
"If there are no regular live classes, how do we get help when we are stuck on a module?","There are no separate live sessions for every module by default. If you get stuck, ask your question in Slack and follow the asking questions guidelines.

Live sessions are only announced separately when they happen.","There are no separate live sessions for every module by default. Module materials are pre-recorded and available in the course repo.

Live sessions are announced separately when they happen. If you are stuck, ask your question in Slack and follow the [asking questions guidelines](https://datatalks.club/docs/courses/zoomcamp-logistics/asking-questions/).

Optional extra support is available through [AI Shipping Labs](https://datatalks.club/docs/courses/llm-zoomcamp/ai-shipping-labs/), a paid community that includes regular Zoom office hours and additional structure. This is optional; the DataTalks.Club course content remains free.",d65e05bd7a
"Where can I find the module materials for the course, and are they available ahead of time?","The module materials are in the course GitHub repository, which is the main entry point. Open the lesson folders there, and each lesson page has the relevant videos linked at the top.

Yes, they are available ahead of time — the module materials are pre-recorded and available in the repo.","There are no separate live sessions for every module by default. Module materials are pre-recorded and available in the course repo.

Live sessions are announced separately when they happen. If you are stuck, ask your question in Slack and follow the [asking questions guidelines](https://datatalks.club/docs/courses/zoomcamp-logistics/asking-questions/).

Optional extra support is available through [AI Shipping Labs](https://datatalks.club/docs/courses/llm-zoomcamp/ai-shipping-labs/), a paid community that includes regular Zoom office hours and additional structure. This is optional; the DataTalks.Club course content remains free.",d65e05bd7a
"Are live sessions for this course scheduled in advance, or only announced when they happen?","Live sessions are announced separately when they happen, not scheduled as separate live sessions for every module by default.","There are no separate live sessions for every module by default. Module materials are pre-recorded and available in the course repo.

Live sessions are announced separately when they happen. If you are stuck, ask your question in Slack and follow the [asking questions guidelines](https://datatalks.club/docs/courses/zoomcamp-logistics/asking-questions/).

Optional extra support is available through [AI Shipping Labs](https://datatalks.club/docs/courses/llm-zoomcamp/ai-shipping-labs/), a paid community that includes regular Zoom office hours and additional structure. This is optional; the DataTalks.Club course content remains free.",d65e05bd7a
Is there any optional paid support with Zoom office hours if I want extra guidance?,"Yes. Optional extra support is available through **AI Shipping Labs**, a **paid community** that includes **regular Zoom office hours** and additional structure. The main course content remains free.","There are no separate live sessions for every module by default. Module materials are pre-recorded and available in the course repo.

Live sessions are announced separately when they happen. If you are stuck, ask your question in Slack and follow the [asking questions guidelines](https://datatalks.club/docs/courses/zoomcamp-logistics/asking-questions/).

Optional extra support is available through [AI Shipping Labs](https://datatalks.club/docs/courses/llm-zoomcamp/ai-shipping-labs/), a paid community that includes regular Zoom office hours and additional structure. This is optional; the DataTalks.Club course content remains free.",d65e05bd7a
Can I count my Bluesky posts toward learning in public credits?,Yes. Bluesky posts can be used toward learning in public credits.,Yes. Bluesky posts can be used for learning in public credits.,dbf5369006
